phone,syllable,word,translation
p,पा,पा,stubborn
pʰ,फा,फाँद,jump
b,बा,बाँक,vise
bʱ,भा,भा,language
t̪,ता,ताँगा,handsome
t̪ʰ,था,थांग,"stash, nest"
d̪,दा,दाँत,"prong, tooth"
d̪ʱ,धा,धागा,"thread, string"
ʈ,टा,टाँग,leg
ʈʰ,ठा,ठांसना,ram
ɖ,डा,डांगर,livestock
ɖʱ,ढा,ढांकना,"cover, muffle"
k,का,का,"of, by"
kʰ,खा,खाँसना,cough
ɡ,गा,गाँती,bib
ɡʱ,घा,घाटा,cost
t̠ʃ,चा,चा,tea
t̠ʃʰ,छा,छाँव,shade
d̠ʒ,जा,जा,go!
d̠ʒʱ,झा,झाँकी,"glimpse, peek"
m,मा,माँग,"claim, demand"
n,ना,नाँद,crib
ɳ,णा,,
ɲ,ञा,,
ŋ,ङा,,
ɾ,रा,राकेट,rocket
ɽ,ड़ा,,
ɽʱ,ढ़ा,,
f,फ़ा,फ़ानूस,"paper lantern"
s,सा,साँच,truth
z,ज़ा,ज़ात,"personality, character"
ʃ,शा,शांत,"soft, calm"
ʂ,षा,षाण्मासिक,"half-yearly, bi-annual"
h,हा,हाँक,cry
ʋ,वा,वांछा,desire
l,ला,लांगूल,tail
j,या,यांत्रिक,mechanical
