phone,syllable,word,highlight,translation
p,pa,pap,,priest
b,ba,baba,,doll
t̪,ta,tag,,"limb (of the body)"
d̪,da,dada,,nanny
k,ka,kap,,receive
ɡ,ga,gaz,,"weed, nefarious"
ts,ca,cakk,,scallop
dz,dza,madzag,,string
t̠ʃ,csa,csak,,only
d̠ʒ,dzsa,bandzsa,,"squint, cross-eyed"
c,tya,atya,,"father, governor"
ɟ,gya,gyapot,,cotton
m,ma,ma,,today
n̪,na,nap,,sun
ɲ,nya,nyak,,neck
f,fa,fa,,tree
v,va,vág,vá,cut
s,sza,szag,,"wind, smell"
z,za,zacc,,grounds
ʃ,sa,sakk,,chess
ʒ,zsa,zsabós,,ruffled
h,ha,hat,,six
r̪,ra,ragály,,epidemic
j,ja,javak,,posessions
l̪,la,láp,lá,bog
