Site    Theta    Phi    Label
Ch1       -92    -72    Fp1
Ch2        92     72    Fp2
Ch3       -92    -36    F7
Ch4       -60    -51    F3
Ch5        46     90    Fz
Ch6        60     51    F4
Ch7        92     36    F8
Ch8       -72    -21    FC5
Ch9       -32    -45    FC1
Ch10       32     45    FC2
Ch11       72     21    FC6
Ch12      -92      0    T7
Ch13      -46      0    C3
Ch14        0      0    Cz
Ch15       46      0    C4
Ch16       92      0    T8
Ch17     -115      0    A1
Ch18      -72     21    CP5
Ch19      -32     45    CP1
Ch20       32    -45    CP2
Ch21       72    -21    CP6
Ch22      115    -18    TP10
Ch23      -92     36    P7
Ch24      -60     51    P3
Ch25       46    -90    Pz
Ch26       60    -51    P4
Ch27       92    -36    P8
Ch28     -101     63    POO9h
Ch29      -92     72    O1
Ch30       92    -90    Oz
Ch31       92    -72    O2
Ch32      101    -63    POO10h
