# From the PHOIBLE database (https://github.com/phoible/dev/blob/master/raw-data/FEATURES/phoible-segments-features.tsv)
# feature name "periodicGlottalSource" changed to "voiced"
# feature name "delayedRelease" changed to "delayedrelease"

	consonantal	labial	coronal	dorsal	continuant	voiced	sonorant	strident	anterior	distributed	delayedrelease	approximant	nasal	lateral
p	1	1	0	0	0	0	0				0	0	0	0
b	1	1	0	0	0	1	0				0	0	0	0
f	1	1	0	0	1	0	0				1	0	0	0
v	1	1	0	0	1	1	0				1	0	0	0
m	1	1	0	0	0	1	1					0	1	0
t	1	0	1	0	0	0	0	0	1	0	0	0	0	0
d	1	0	1	0	0	1	0	0	1	0	0	0	0	0
θ	1	0	1	0	1	0	0	0	1	1	1	0	0	0
ð	1	0	1	0	1	1	0	0	1	1	1	0	0	0
s	1	0	1	0	1	0	0	1	1	0	1	0	0	0
z	1	0	1	0	1	1	0	1	1	0	1	0	0	0
l	1	0	1	0	1	1	1	0	1	0		1	0	1
n	1	0	1	0	0	1	1	0	1	0		0	1	0
tʃ	1	0	1	0	0	0	0	1	0	1	1	0	0	0
dʒ	1	0	1	0	0	1	0	1	0	1	1	0	0	0
ʃ	1	0	1	0	1	0	0	1	0	1	1	0	0	0
ʒ	1	0	1	0	1	1	0	1	0	1	1	0	0	0
k	1	0	0	1	0	0	0				0	0	0	0
ɡ	1	0	0	1	0	1	0				0	0	0	0
ŋ	1	0	0	1	0	1	1					0	1	0
h	0	0	0	0	1	0	0				1	0	0	0
ɹ	0	0	1	0	1	1	1	0	0	1		1	0	0
w	0	1	0	1	1	1	1					1	0	0
j	0	0	0	1	1	1	1					1	0	0
