talker	consonant	CV-transition-time
cmn-f	c-curl	0.2478338001867414
cmn-f	f	0.21924436441243167
cmn-f	h	0.19263080540858318
cmn-f	j	0.12264496274700357
cmn-f	k-aspirated	0.14373791621911924
cmn-f	k	0.03494557823129252
cmn-f	l	0.11404862685815068
cmn-f	m	0.11429931972789116
cmn-f	n	0.11798928766909063
cmn-f	p-aspirated	0.11089569160997734
cmn-f	p	0.023032879818594105
cmn-f	s-retroflex	0.2092151675485009
cmn-f	s	0.2566059757236228
cmn-f	t-aspirated	0.1156575963718821
cmn-f	t	0.02579818594104308
cmn-f	tc-curl-aspirated	0.18554232804232806
cmn-f	tc-curl	0.1138243502529217
cmn-f	ts-aspirated	0.15689452772259346
cmn-f	ts-retroflex-aspirated	0.16167600373482727
cmn-f	ts-retroflex	0.08418004535147393
cmn-f	ts	0.10517066475713094
cmn-f	w	0.12140656262505002
eng-f1	esh-0	0.1934920634920635
eng-f1	esh-1	0.1852407116692831
eng-f1	esh-2	0.18992468415937805
eng-f1	eth-0	0.03842403628117914
eng-f1	eth-1	0.025000788721285618
eng-f1	eth-2	0.05553012195869338
eng-f1	ezh-0	0.10018576661433805
eng-f1	ezh-1	0.1153261817547532
eng-f1	ezh-2	0.13351549508692367
eng-f1	ezh-3	0.09981985386747293
eng-f1	f-0	0.1882562358276644
eng-f1	f-1	0.17222870100421123
eng-f1	f-2	0.15957369614512473
eng-f1	h-0	0.14419083422842824
eng-f1	h-1	0.14127723553189392
eng-f1	h-2	0.17722222222222223
eng-f1	j-0	0.1446371882086168
eng-f1	j-1	0.15865868086364981
eng-f1	j-2	0.11126811176447982
eng-f1	k-0	0.023517006802721088
eng-f1	k-1	0.02267857142857143
eng-f1	k-2	0.026839660595420964
eng-f1	k-aspirated-0	0.0943717486994798
eng-f1	k-aspirated-1	0.11436296999419925
eng-f1	k-aspirated-2	0.10303408231979662
eng-f1	l-0	0.08894496537353681
eng-f1	l-1	0.09183067747647006
eng-f1	l-2	0.1113778493853682
eng-f1	m-0	0.0748891408415218
eng-f1	m-1	0.06759975335163305
eng-f1	m-2	0.07387503149407912
eng-f1	n-0	0.11387493458922032
eng-f1	n-1	0.0732068724925868
eng-f1	n-2	0.08038250387874449
eng-f1	p-0	0.012277519194812427
eng-f1	p-1	0.01303564836787428
eng-f1	p-2	0.013350638501014441
eng-f1	p-aspirated-0	0.09746031746031747
eng-f1	p-aspirated-1	0.09370806442235013
eng-f1	p-aspirated-2	0.10333989736245376
eng-f1	r-turned-0	0.06474789915966386
eng-f1	r-turned-1	0.10850143613000757
eng-f1	r-turned-2	0.07301064995286505
