segment	consonantal	sonorant	continuant	delayedRelease	approximant	nasal	lateral	labial	labiodental	coronal	anterior	distributed	strident	dorsal	periodicGlottalSource	spreadGlottis
m	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0
k	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
i	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
j	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
p	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
u	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0
w	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0
n	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0
s	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0
t	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
b	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
o	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0
l	1	1	1	0	1	0	1	0	0	1	1	0	0	0	1	0
h	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
ɡ	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ŋ	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0
d	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
ɲ	1	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0
f	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0
ʔ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɛ	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
ɔ	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0
ʃ	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0
r	1	1	1	0	1	0	0	0	0	1	1	0	0	0	1	0
t̠ʃ	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0
z	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0
iː	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
v	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0
aː	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
d̠ʒ	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0
