segment	consonantal	sonorant	continuant	delayedRelease	approximant	nasal	lateral	labial	labiodental	coronal	anterior	distributed	strident	dorsal	periodicGlottalSource	spreadGlottis
m	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0
k	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
j	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
p	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
w	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0
n	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0
s	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0
t	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
b	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
l	1	1	1	0	1	0	1	0	0	1	1	0	0	0	1	0
h	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
ɡ	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ŋ	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0
d	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
ɲ	1	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0
f	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0
ʃ	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0
r	1	1	1	0	1	0	0	0	0	1	1	0	0	0	1	0
t̠ʃ	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0
z	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0
v	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0
d̠ʒ	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0
t̪	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
x	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
d̪	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0
kʰ	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
n̪	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0
pʰ	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ʒ	1	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0
ɣ	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0
ɓ	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
mb	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ɟ	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0
ŋɡ	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
nd	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
tʰ	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
ɗ	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
l̪	1	1	1	0	1	0	1	0	0	1	1	1	0	0	1	0
dz	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0
ʈ	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ɖ	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
t̪ʰ	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1
t̠ʃʰ	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1
χ	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
ʂ	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0
ɽ	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0
ç	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0
ð	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0
tsʰ	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1
θ	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0
ʈʰ	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
r̪	1	1	1	0	1	0	0	0	0	1	1	1	0	0	1	0
ʁ	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0
ʈʂ	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
cʰ	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1
ɱv	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0
nz	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0
ɹ	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0
d̪̤	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1
ɖ̤	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
ɲɟ	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0
ʋ	0	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0
ɕ	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0
tɕ	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0
ʈʂʰ	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1
ɡ̤	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
d̠ʒ̤	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
bʱ	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
ʀ	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
ɽ̤	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1
tɕʰ	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1
