segment	consonantal	sonorant	continuant	delayedRelease	approximant	nasal	lateral	labial	labiodental	coronal	anterior	distributed	strident	dorsal	periodicGlottalSource	spreadGlottis
ʃ	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0
ð	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0
ʒ	1	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0
f	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0
h	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
j	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
k	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
kʰ	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
l	1	1	1	0	1	0	1	0	0	1	1	0	0	0	1	0
m	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0
n	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0
p	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pʰ	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ɹ	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0
s	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0
t	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
tʰ	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
t̠ʃ	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0
t̠ʃʰ	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1
θ	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0
v	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0
w	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0
z	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0
