wav_idx	wav_path	wav_nsamp
243	eng-m1/ezh-0.wav	12080
111	eng-f2/s-0.wav	13484
274	eng-f1/n-0.wav	13801
116	eng-f2/t-2.wav	8967
122	eng-f2/tesh-2.wav	9838
153	hin-m/k.wav	6559
8	eng-m2/ezh-2.wav	10719
285	eng-f1/w-0.wav	11092
180	hun-f/k-aspirated.wav	9090
144	hin-m/dezh-breathy.wav	9462
191	hun-f/v.wav	11613
159	hin-m/r.wav	9111
139	hin-m/b.wav	10323
37	eng-m2/p-aspirated-1.wav	9892
246	eng-m1/j-0.wav	11228
181	hun-f/l-dental.wav	12281
280	eng-f1/t-aspirated-0.wav	11598
101	eng-f2/n-2.wav	9660
284	eng-f1/v-0.wav	12421
257	eng-m1/t-aspirated-0.wav	11253
7	eng-m2/ezh-1.wav	11569
59	eng-m2/theta-2.wav	12345
45	eng-m2/t-0.wav	10380
108	eng-f2/r-turned-0.wav	10964
150	hin-m/h.wav	8026
126	eng-f2/theta-0.wav	12125
96	eng-f2/m-0.wav	10467
282	eng-f1/tesh-aspirated-0.wav	12380
171	hun-f/dezh.wav	13914
71	eng-f2/esh-2.wav	12111
89	eng-f2/k-2.wav	8263
184	hun-f/n-palatal.wav	11371
157	hin-m/nu.wav	9084
247	eng-m1/k-0.wav	10605
136	eng-f2/z-1.wav	12718
172	hun-f/dz.wav	13689
64	eng-m2/w-1.wav	10477
107	eng-f2/p-aspirated-2.wav	10650
258	eng-m1/tesh-0.wav	11896
5	eng-m2/eth-2.wav	10855
22	eng-m2/k-aspirated-1.wav	10419
179	hun-f/j.wav	12079
55	eng-m2/tesh-aspirated-1.wav	10674
12	eng-m2/h-0.wav	12072
160	hin-m/s-retroflex.wav	9524
154	hin-m/l.wav	8566
70	eng-f2/esh-1.wav	13825
158	hin-m/p.wav	6775
251	eng-m1/n-0.wav	10838
63	eng-m2/w-0.wav	11863
44	eng-m2/s-2.wav	12366
146	hin-m/esh.wav	9020
248	eng-m1/k-aspirated-0.wav	11483
73	eng-f2/eth-1.wav	11377
252	eng-m1/p-0.wav	10132
103	eng-f2/p-1.wav	11255
190	hun-f/ts-aspirated.wav	10732
129	eng-f2/v-0.wav	12106
188	hun-f/t-dental-aspirated.wav	9359
173	hun-f/esh.wav	13279
18	eng-m2/k-0.wav	9527
118	eng-f2/t-aspirated-1.wav	9169
15	eng-m2/j-0.wav	10694
