phone,syllable,word,highlight,translation,male,m-result,female,f-result
p,pa,pak,,pack,,,,
b,ba,bad,,bath,,,,
t,ta,tak,,bough,t̻̪,transcribe-as-read,tʰ,transcribe-as-read
d,da,dak,,roof,d̻̪,transcribe-as-read,,
k,ka,kat,,cat,kʰ,transcribe-as-read,kʰ,transcribe-as-read
f,fa,fabriek,,factory,,,,
v,va,vak,,section,,,,
s,sa,sap,,juice,,,,
z,za,zak,,pocket,,,,
χ,ga,gat,,hole,,,x̟,transcribe-as-read
ɦ,ha,hard,,hard,h,transcribe-as-read,h,transcribe-as-read
m,ma,mat,,mat,,,,
n,na,nat,,wet,,,,
ŋ,nga,,,,,,,
ɾ,ra,rat,,rat,ʁ,transcribe-as-read,ʀ,transcribe-as-read
ʋ,wa,wang,,cheek,,,,
j,ja,jas,,coat,,,,
l,la,lat,,slat,,,,
x,cha,chagrijnig,,grouchy,ʃ,transcribe-as-read,ʃ,transcribe-as-read
